year,temp,co2,sea_ice,temp_ireland,rainfall_ireland
-625019,,215.71,,,
-625005,209.5,,,,
-624265,,227.8,,,
-624244,210.2,,,,
-624098,,228.51,,,
-623620,,234.3,,,
-623448,,235.02,,,
-623432,209.5,,,,
-622740,,237.3,,,
-622630,209.6,,,,
-622547,,237.93,,,
-621849,209.9,,,,
-621264,,238.6,,,
-621163,211.2,,,,
-621105,,239.19,,,
-621001,,243.89,,,
-620576,212.8,,,,
-620050,213.9,,,,
-619810,,243.0,,,
-619701,,243.53,,,
-619581,215.1,,,,
-619153,216.1,,,,
-618705,215.5,,,,
-618388,,245.4,,,
-618334,,245.89,,,
-618257,215.5,,,,
-617799,215.3,,,,
-617353,215.6,,,,
-617005,,247.9,,,
-617004,,248.29,,,
-616922,216.0,,,,
-616498,216.1,,,,
-616072,216.0,,,,
-615660,,252.64,,,
-615656,216.3,,,,
-615594,,252.3,,,
-615218,215.7,,,,
-614795,216.1,,,,
-614407,,252.73,,,
-614352,215.6,,,,
-614349,,252.9,,,
-614277,,252.4,,,
-613921,215.9,,,,
-613509,216.4,,,,
-613191,,252.75,,,
-613104,216.5,,,,
-612973,,252.5,,,
-612709,216.8,,,,
-612302,216.5,,,,
-611993,,256.19,,,
-611904,216.7,,,,
-611759,,256.0,,,
-611505,216.7,,,,
-611116,216.9,,,,
-610812,,258.14,,,
-610705,216.3,,,,
-610564,,258.0,,,
-610294,216.4,,,,
-609877,216.2,,,,
-609651,,259.68,,,
-609601,,257.82,,,
-609482,216.7,,,,
-609369,,259.6,,,
-609078,216.5,,,,
-608664,216.2,,,,
-608480,,257.74,,,
-608234,215.9,,,,
-608186,,257.7,,,
-607794,215.6,,,,
-607349,215.5,,,,
-607297,,259.22,,,
-606979,,259.2,,,
-606893,215.2,,,,
-606396,214.3,,,,
-606029,,254.58,,,
-605892,214.2,,,,
-605758,,254.6,,,
-605387,214.2,,,,
-604863,213.8,,,,
-604676,,248.48,,,
-604424,,248.5,,,
-604326,213.5,,,,
-603791,213.5,,,,
-603353,,244.53,,,
-603244,213.3,,,,
-603126,,244.5,,,
-602712,213.5,,,,
-602198,213.9,,,,
-601999,,239.14,,,
-601723,,239.1,,,
-601630,212.8,,,,
-601058,212.8,,,,
-600651,,237.86,,,
-600482,212.7,,,,
-600328,,237.9,,,
-599869,212.0,,,,
-599305,,232.45,,,
-599211,211.3,,,,
-598932,,232.5,,,
-598614,212.3,,,,
-598061,213.0,,,,
-597865,,229.38,,,
-597554,213.9,,,,
-597484,,229.4,,,
-597268,,225.97,,,
-597067,214.3,,,,
-596883,,226.0,,,
-596554,213.7,,,,
-596380,,219.02,,,
-596050,213.9,,,,
-596016,,219.0,,,
-595854,,216.27,,,
-595516,213.3,,,,
-595493,,216.3,,,
-594982,213.3,,,,
-594841,,216.44,,,
-594565,,216.4,,,
-594416,212.6,,,,
-594272,,221.22,,,
-594000,,221.2,,,
-593841,212.4,,,,
-593486,,232.92,,,
-593310,213.2,,,,
-593239,,232.9,,,
-592914,,237.98,,,
-592844,214.6,,,,
-592689,,238.0,,,
-592381,214.6,,,,
-592097,,238.15,,,
-591920,,238.1,,,
-591882,213.8,,,,
-591611,,233.16,,,
-591465,,233.2,,,
-591368,213.5,,,,
-590836,,229.39,,,
-590826,212.9,,,,
-590747,,229.4,,,
-590433,,225.68,,,
-590329,,225.7,,,
-590235,212.0,,,,
-589623,211.6,,,,
-589069,,237.38,,,
-589002,211.4,,,,
-588943,,237.4,,,
-588539,,243.56,,,
-588450,212.7,,,,
-588385,,243.6,,,
-588090,,248.1,,,
-587918,,248.1,,,
-587870,212.0,,,,
-587475,,250.2,,,
-587310,212.4,,,,
-587274,,250.2,,,
-586991,,246.35,,,
-586766,,246.3,,,
-586744,212.3,,,,
-586329,,238.78,,,
-586123,211.3,,,,
-586084,,238.8,,,
-585939,,234.4,,,
-585697,,234.4,,,
-585515,211.5,,,,
-585222,,225.99,,,
-584943,,226.0,,,
-584942,212.1,,,,
-584771,,223.96,,,
-584456,,224.0,,,
-584395,212.5,,,,
-583890,213.4,,,,
-583414,214.0,,,,
-582944,214.1,,,,
-582503,214.7,,,,
-582087,215.3,,,,
-582009,,210.64,,,
-581664,215.1,,,,
-581624,,206.68,,,
-581463,,210.6,,,
-581281,216.1,,,,
-581084,,206.7,,,
-580917,216.6,,,,
-580886,,209.88,,,
-580565,216.9,,,,
-580505,,215.45,,,
-580441,,209.9,,,
-580211,216.8,,,,
-580050,,215.4,,,
-579978,,219.41,,,
-579859,216.9,,,,
-579597,,225.21,,,
-579557,,219.4,,,
-579505,216.8,,,,
-579210,,225.2,,,
-579169,,230.26,,,
-579152,216.8,,,,
-578864,,236.17,,,
-578803,217.0,,,,
-578745,,230.3,,,
-578452,,243.81,,,
-578450,,236.2,,,
-578439,216.5,,,,
-578260,,244.14,,,
-578069,,243.8,,,
-578063,216.1,,,,
-577883,,251.47,,,
-577871,,244.1,,,
-577696,216.3,,,,
-577485,,251.5,,,
-577331,,252.92,,,
-577325,216.2,,,,
-576927,215.5,,,,
-576907,,252.9,,,
-576792,,249.06,,,
-576545,215.9,,,,
-576355,,249.1,,,
-576246,,251.08,,,
-576164,215.9,,,,
-575819,,251.1,,,
-575780,215.8,,,,
-575704,,251.34,,,
-575395,215.8,,,,
-575292,,251.3,,,
-575165,,251.3,,,
-575016,215.9,,,,
-574773,,251.3,,,
-574649,,252.9,,,
-574635,215.9,,,,
-574272,,252.9,,,
-574259,216.0,,,,
-574163,,252.54,,,
-573892,216.2,,,,
-573780,,252.5,,,
-573705,,248.86,,,
-573535,216.5,,,,
-573315,,248.9,,,
-573284,,252.08,,,
-573183,216.7,,,,
-572856,,251.86,,,
-572853,,252.1,,,
-572820,216.3,,,,
-572462,216.5,,,,
-572415,,251.77,,,
-572403,,251.9,,,
-572104,216.5,,,,
-571963,,248.72,,,
-571952,,251.8,,,
-571739,216.3,,,,
-571526,,249.19,,,
-571512,,248.7,,,
-571378,216.4,,,,
-571104,,247.66,,,
-571087,,249.2,,,
-571002,215.9,,,,
-570720,,246.31,,,
-570669,,247.7,,,
-570640,216.4,,,,
-570366,,250.3,,,
-570278,216.3,,,,
-570240,,246.3,,,
-570025,,251.6,,,
-569905,216.0,,,,
-569825,,250.3,,,
-569683,,249.6,,,
-569514,215.5,,,,
-569417,,251.6,,,
-569311,,251.8,,,
-569152,216.3,,,,
-569005,,249.6,,,
-568912,,251.8,,,
-568784,216.1,,,,
-568598,,251.8,,,
-568513,,251.3,,,
-568420,216.2,,,,
-568189,,251.8,,,
-568117,,250.0,,,
-568041,215.8,,,,
-567778,,251.3,,,
-567734,,251.3,,,
-567665,215.8,,,,
-567381,,250.0,,,
-567365,,250.2,,,
-567299,216.1,,,,
-566996,,251.3,,,
